timestamp,open,high,low,close,volume
1747074900000,0.768,0.771,0.7649,0.7649,2474.4521
1747075200000,0.7658,0.768,0.7622,0.7623,3114.5502
1747075500000,0.7634,0.7635,0.7248,0.7326,65044.7354
1747075800000,0.7334,0.7514,0.7334,0.749,19175.2736
1747076100000,0.7487,0.7521,0.747,0.747,4695.0325
1747076400000,0.7472,0.7553,0.746,0.7532,2546.2002
1747076700000,0.7552,0.7568,0.7515,0.7566,3695.0722
1747077000000,0.7551,0.7562,0.7515,0.7548,3546.3198
1747077300000,0.7553,0.7602,0.755,0.7575,4634.2055
1747077600000,0.7571,0.7571,0.7538,0.7542,2793.2657
1747077900000,0.754,0.755,0.7523,0.755,1095.1506
1747078200000,0.755,0.7592,0.755,0.7564,6890.6964
1747078500000,0.7566,0.7572,0.754,0.7569,1722.8567
1747078800000,0.7563,0.7585,0.7533,0.7561,2652.185
1747079100000,0.7565,0.7606,0.7565,0.759,3331.5975
1747079400000,0.759,0.7593,0.7569,0.7569,931.3185
1747079700000,0.7571,0.7571,0.7549,0.7562,1208.9354
1747080000000,0.7555,0.7593,0.7547,0.7555,2432.619
1747080300000,0.7571,0.76,0.7567,0.7571,1434.8024
1747080600000,0.758,0.759,0.7558,0.7575,1389.8646
1747080900000,0.7579,0.7602,0.7578,0.76,1198.9801
1747081200000,0.7604,0.762,0.7582,0.762,1190.2802
1747081500000,0.7617,0.7628,0.76,0.761,3602.4031
1747081800000,0.761,0.766,0.761,0.766,1939.4519
1747082100000,0.7656,0.7662,0.7621,0.7662,3732.8262
1747082400000,0.7656,0.7667,0.7645,0.7652,602.5957
1747082700000,0.7657,0.766,0.7635,0.7638,766.3901
1747083000000,0.7638,0.7683,0.7626,0.7683,2469.1221
1747083300000,0.7691,0.7692,0.7657,0.7658,1588.0872
1747083600000,0.766,0.766,0.7613,0.7653,12623.539
1747083900000,0.7641,0.7651,0.764,0.765,445.4601
1747084200000,0.766,0.766,0.7631,0.7641,430.4157
1747084500000,0.7636,0.7645,0.7626,0.7627,582.1897
1747084800000,0.7633,0.7656,0.7633,0.7651,570.632
1747085100000,0.7658,0.7668,0.7632,0.7632,1991.8802
1747085400000,0.7632,0.7666,0.7623,0.766,743.6417
1747085700000,0.7671,0.7676,0.7656,0.7673,296.5481
1747086000000,0.767,0.767,0.7658,0.7659,327.7401
1747086300000,0.7663,0.7677,0.7663,0.7669,178.3914
1747086600000,0.7673,0.768,0.7651,0.7672,565.6685
1747086900000,0.7677,0.7698,0.7671,0.7681,1191.7819
1747087200000,0.768,0.768,0.7641,0.767,817.3295
1747087500000,0.7673,0.7685,0.7664,0.7674,375.925
1747087800000,0.7676,0.7691,0.7676,0.7688,512.0745
1747088100000,0.7693,0.7727,0.7693,0.7711,1802.7749
1747088400000,0.7712,0.7716,0.7708,0.7714,279.2862
1747088700000,0.7716,0.7732,0.771,0.7716,834.6279
1747089000000,0.7716,0.773,0.7707,0.773,637.7087
1747089300000,0.7728,0.7767,0.7725,0.7766,1011.8766
1747089600000,0.7758,0.7758,0.7731,0.7751,817.4257
1747089900000,0.7746,0.7768,0.7746,0.776,749.1707
1747090200000,0.7765,0.7765,0.7735,0.7746,4481.668
1747090500000,0.7739,0.7739,0.7717,0.7727,1105.4001
1747090800000,0.773,0.7774,0.773,0.7774,1705.0348
1747091100000,0.7775,0.7794,0.7763,0.779,1279.4479
1747091400000,0.7794,0.7804,0.7763,0.7767,810.4204
1747091700000,0.777,0.7804,0.7767,0.7804,503.117
1747092000000,0.7802,0.7815,0.7796,0.7805,6707.772
1747092300000,0.7795,0.7811,0.7795,0.7805,1268.3462
1747092600000,0.7803,0.7803,0.7766,0.7772,2817.2148
1747092900000,0.777,0.7787,0.7756,0.7773,2000.2874
1747093200000,0.7771,0.7785,0.7768,0.7781,243.3617
1747093500000,0.7779,0.7793,0.7776,0.7776,210.5062
1747093800000,0.7784,0.781,0.7781,0.7782,2108.7057
1747094100000,0.7777,0.7783,0.7771,0.778,246.5261
1747094400000,0.7774,0.7778,0.7748,0.775,884.9155
1747094700000,0.7743,0.7743,0.7695,0.7698,2482.956
1747095000000,0.7701,0.7706,0.7678,0.7699,620.4229
1747095300000,0.7687,0.772,0.7668,0.7705,1734.0135
1747095600000,0.7709,0.7709,0.766,0.7692,1636.1575
1747095900000,0.7687,0.77,0.7668,0.768,1338.585
1747096200000,0.7688,0.7689,0.7639,0.7647,3289.8873
1747096500000,0.7656,0.7679,0.7633,0.7679,1163.1785
1747096800000,0.7676,0.7676,0.7639,0.7639,567.9953
