timestamp,open,high,low,close,volume
1746650100000,3.04,3.042,3.035,3.035,249.627899
1746650400000,3.027,3.027,3.02,3.023,391.542999
1746650700000,3.024,3.029,3.024,3.029,171.8091
1746651000000,3.026,3.026,3.026,3.026,63.262721
1746651300000,3.036,3.036,3.036,3.036,1.1812
1746651600000,3.036,3.036,3.036,3.036,7.8e-05
1746651900000,3.028,3.042,3.028,3.042,28.678786
1746652200000,3.041,3.05,3.041,3.05,13.995178
1746652500000,3.042,3.042,3.041,3.041,37.066807
1746652800000,3.054,3.057,3.053,3.056,300.075626
1746653100000,3.056,3.06,3.056,3.058,371.408964
1746653400000,3.059,3.068,3.058,3.058,54.51016
1746653700000,3.052,3.053,3.052,3.053,376.881564
1746654000000,3.053,3.062,3.053,3.06,713.938098
1746654300000,3.06,3.061,3.058,3.058,28.361
1746654600000,3.057,3.057,3.057,3.057,22.359508
1746654900000,3.057,3.059,3.057,3.059,118.26
1746655200000,3.069,3.069,3.069,3.069,1.181278
1746655500000,3.074,3.076,3.074,3.075,23.0
1746655800000,3.081,3.086,3.08,3.08,38.948531
1746656100000,3.072,3.073,3.068,3.068,287.881572
1746656400000,3.065,3.065,3.065,3.065,17.636778
1746656700000,3.066,3.067,3.066,3.067,111.529338
1746657000000,3.064,3.074,3.064,3.074,166.126921
1746657300000,3.074,3.074,3.074,3.074,6.0
1746657600000,3.077,3.077,3.077,3.077,3.0
1746657900000,3.077,3.078,3.077,3.078,14.861753
1746658200000,3.078,3.078,3.078,3.078,0.0
1746658500000,3.077,3.081,3.077,3.081,67.752926
1746658800000,3.076,3.084,3.072,3.084,447.297204
1746659100000,3.084,3.088,3.084,3.088,70.307816
1746659400000,3.088,3.088,3.088,3.088,3.0
1746659700000,3.088,3.088,3.088,3.088,23.856541
1746660000000,3.083,3.085,3.083,3.085,15.84
1746660300000,3.084,3.084,3.084,3.084,12.91132
1746660600000,3.084,3.086,3.08,3.08,21.38857
1746660900000,3.083,3.083,3.083,3.083,6.0848
1746661200000,3.082,3.084,3.082,3.084,119.471347
1746661500000,3.084,3.084,3.084,3.084,0.0
1746661800000,3.086,3.086,3.086,3.086,2.961
1746662100000,3.086,3.086,3.086,3.086,0.0
1746662400000,3.086,3.086,3.086,3.086,0.0
1746662700000,3.085,3.094,3.085,3.094,36.145639
1746663000000,3.095,3.095,3.085,3.087,153.909095
1746663300000,3.087,3.093,3.087,3.092,19.3086
1746663600000,3.094,3.094,3.09,3.09,145.719989
1746663900000,3.09,3.09,3.09,3.09,0.0
1746664200000,3.099,3.1,3.097,3.097,69.9163
1746664500000,3.091,3.092,3.091,3.092,38.220168
1746664800000,3.087,3.088,3.087,3.088,24.498965
1746665100000,3.081,3.085,3.081,3.085,15.115124
1746665400000,3.091,3.092,3.091,3.092,24.443024
1746665700000,3.092,3.123,3.092,3.123,256.999383
1746666000000,3.123,3.139,3.123,3.126,207.54665
1746666300000,3.127,3.139,3.127,3.136,857.270215
1746666600000,3.13,3.13,3.126,3.126,24.935184
1746666900000,3.12,3.135,3.117,3.132,162.789136
1746667200000,3.137,3.138,3.135,3.138,142.763764
1746667500000,3.135,3.138,3.135,3.138,435.256728
1746667800000,3.138,3.139,3.132,3.132,156.012354
1746668100000,3.134,3.134,3.134,3.134,5.9668
1746668400000,3.133,3.133,3.133,3.133,9.323487
1746668700000,3.133,3.133,3.131,3.133,18.663
1746669000000,3.134,3.134,3.128,3.13,41.690251
1746669300000,3.13,3.13,3.125,3.13,1220.24242
1746669600000,3.131,3.131,3.13,3.13,35.2763
1746669900000,3.128,3.128,3.124,3.127,191.754242
1746670200000,3.134,3.141,3.134,3.141,56.127637
1746670500000,3.146,3.148,3.146,3.148,16.371
1746670800000,3.14,3.141,3.14,3.141,80.623233
1746671100000,3.148,3.15,3.148,3.15,21.878951
1746671400000,3.151,3.159,3.151,3.153,181.900278
1746671700000,3.155,3.156,3.147,3.147,1041.705077
