timestamp,open,high,low,close,volume
1744866000000,2.0822,2.1019,2.0822,2.1019,2560.0
1744869600000,2.0964,2.1054,2.0957,2.0991,10296.0
1744873200000,2.0947,2.1013,2.0879,2.0904,3827.0
1744876800000,2.0904,2.1,2.0904,2.0976,530.0
1744880400000,2.0925,2.0989,2.0904,2.0972,1099.0
1744884000000,2.0966,2.0966,2.0941,2.0942,67.0
1744887600000,2.0969,2.1063,2.0969,2.1063,2547.0
1744891200000,2.1038,2.1147,2.1037,2.1126,20277.0
1744894800000,2.1101,2.1103,2.096,2.1044,2747.0
1744898400000,2.0921,2.0921,2.0656,2.0656,18007.0
1744902000000,2.0667,2.0851,2.0593,2.0735,9727.0
1744905600000,2.0678,2.0938,2.06,2.0806,11478.0
1744909200000,2.0849,2.0975,2.0849,2.0969,14447.0
1744912800000,2.0955,2.1021,2.0816,2.0816,24031.0
1744916400000,2.0816,2.0849,2.0576,2.0699,58639.0
1744920000000,2.0681,2.0786,2.0681,2.0722,1935.0
1744923600000,2.072,2.0753,2.0674,2.075,299.0
1744927200000,2.0796,2.0796,2.0623,2.0623,194.0
1744930800000,2.0662,2.07,2.0662,2.0683,1633.0
1744934400000,2.0682,2.0687,2.0477,2.0498,35446.0
1744938000000,2.0508,2.0676,2.0477,2.0631,11555.0
1744941600000,2.0565,2.0633,2.0511,2.063,2430.0
1744945200000,2.0511,2.0556,2.0479,2.0551,573.0
1744948800000,2.0546,2.0623,2.0546,2.0623,28.0
1744952400000,2.0634,2.0635,2.0535,2.0635,2768.0
1744956000000,2.068,2.068,2.0617,2.0664,92.0
1744959600000,2.0671,2.0695,2.0609,2.0695,4153.0
1744963200000,2.0711,2.0789,2.0711,2.0789,373.0
1744966800000,2.0784,2.0786,2.0758,2.0769,2593.0
1744970400000,2.0773,2.0806,2.0748,2.0748,3436.0
1744974000000,2.0748,2.0748,2.0748,2.0748,15.0
1744977600000,2.0799,2.0859,2.0799,2.0859,80.0
1744981200000,2.0773,2.0781,2.07,2.0765,9762.0
1744984800000,2.08,2.0804,2.0695,2.0731,443.0
1744988400000,2.0697,2.0697,2.0582,2.0589,808.0
1744992000000,2.0586,2.0645,2.0586,2.0637,535.0
1744995600000,2.0658,2.08,2.0658,2.08,10198.0
1744999200000,2.0797,2.0865,2.0797,2.0826,28796.0
1745002800000,2.0834,2.0834,2.0764,2.0771,52603.0
1745006400000,2.086,2.086,2.0735,2.0747,1937.0
1745010000000,2.0748,2.0825,2.072,2.0803,14682.0
1745013600000,2.0819,2.0819,2.0759,2.0763,1367.0
1745017200000,2.0711,2.0711,2.0605,2.0633,2587.0
1745020800000,2.0621,2.0634,2.06,2.061,22305.0
1745024400000,2.0687,2.0711,2.066,2.066,9365.0
1745028000000,2.0654,2.0806,2.0619,2.0789,20260.0
1745031600000,2.08,2.0848,2.0798,2.0832,24859.0
1745035200000,2.0835,2.0929,2.0835,2.0909,52099.0
1745038800000,2.0874,2.0874,2.084,2.084,1518.0
1745042400000,2.084,2.084,2.0815,2.0815,35.0
1745046000000,2.0815,2.0815,2.0815,2.0815,0.0
1745049600000,2.0897,2.0899,2.0873,2.0873,824.0
1745053200000,2.0921,2.0954,2.0906,2.0906,1523.0
1745056800000,2.0865,2.0865,2.0817,2.0817,32.0
1745060400000,2.0847,2.0863,2.0815,2.0863,450.0
1745064000000,2.0849,2.0849,2.0849,2.0849,7.0
1745067600000,2.0815,2.089,2.0802,2.0882,1923.0
1745071200000,2.0912,2.0912,2.0823,2.0823,2350.0
1745074800000,2.0829,2.0869,2.0775,2.0775,645.0
1745078400000,2.0792,2.0981,2.0669,2.0702,125765.0
1745082000000,2.0703,2.0881,2.0699,2.0867,1328.0
1745085600000,2.0881,2.0937,2.0881,2.0923,639.0
1745089200000,2.0892,2.0897,2.0837,2.0839,1227.0
1745092800000,2.0837,2.0884,2.0831,2.0884,51.0
1745096400000,2.091,2.091,2.0859,2.0898,812.0
1745100000000,2.0898,2.0902,2.0877,2.0886,463.0
1745103600000,2.0883,2.0902,2.0827,2.0877,577.0
1745107200000,2.0864,2.0911,2.0845,2.0862,2405.0
1745110800000,2.0869,2.0907,2.0863,2.0874,3776.0
1745114400000,2.09,2.09,2.0848,2.0851,350.0
1745118000000,2.084,2.0853,2.0816,2.0823,198.0
1745121600000,2.084,2.0847,2.0792,2.0829,1384.0
1745125200000,2.083,2.085,2.0821,2.083,4928.0
1745128800000,2.083,2.083,2.0711,2.0711,4436.0
1745132400000,2.07,2.07,2.0643,2.0668,17255.0
1745136000000,2.0678,2.0695,2.0638,2.0638,3932.0
1745139600000,2.0623,2.0638,2.061,2.061,1402.0
1745143200000,2.0642,2.0642,2.0422,2.0481,74596.0
1745146800000,2.0481,2.0481,2.0414,2.043,2178.0
1745150400000,2.0506,2.0541,2.0506,2.0535,145.0
1745154000000,2.053,2.053,2.0449,2.052,12112.0
1745157600000,2.052,2.057,2.052,2.0553,1558.0
